image_path,015,017,002,014,020,019,008,011,016,005,000,013,003,007,001,006,018,004,009,012,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0000.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0001.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0002.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0003.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0004.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0005.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0006.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0007.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0008.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0009.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0010.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0011.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0012.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0013.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0014.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0015.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0016.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0017.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0018.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0019.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0020.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0021.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0022.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0023.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0024.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0025.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0026.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0027.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0028.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/A0029.jpg,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB026,✘,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/D0000.jpg,✔,✘,✘,✘,PJMWCSO,9602573886,✔,✘,✔,✘,✘,✔,✘,✘,✘,✘,SP00NAB026,✘,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/083/D0001.jpg,✔,✘,✔,✘,PZ0XSOA,1716144290,✘,✘,✘,✔,✘,✘,✘,✘,✔,✘,SP00NAB026,✘,✘,✔,✔
