image_path,015,017,022,033,051,002,041,032,040,050,036,043,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0000.jpg,␣,6299000,3789480,␣,␣,흰색,✘,2,␣,0,15.8,✘,✔,∅,␣,✘,✘,✘,✔,␣,100,✘,22676400,✔,✘,12,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,스피드카중고차,1,✘,GV80,␣,␣,✔,✘,30111000,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0001.jpg,␣,6087000,1738450,␣,␣,흰색,✘,2,␣,0,10.1,✘,✘,∅,␣,✘,✘,✘,✔,␣,150,✘,21913200,✔,✔,24,␣,␣,✘,1.5만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드림카매매센터,1,✘,G80,␣,␣,✔,✘,56691000,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0002.jpg,␣,5224000,1070800,␣,␣,유색,✘,2,␣,␣,18.3,✔,✘,∅,␣,✘,✘,✘,✔,␣,200,✘,18806400,✘,✘,36,␣,␣,✘,3만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,행복드라이브중고차,1,✘,팰리세이드,␣,␣,✘,✔,54783000,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0003.jpg,␣,5179000,717460,␣,␣,검정,✘,2,␣,␣,6.8,✘,✘,∅,␣,✘,✘,✘,✔,␣,100,✘,18644400,✔,✘,48,␣,␣,✘,1만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,알파카자동차,1,✘,G80,␣,␣,✘,✘,47016000,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0004.jpg,␣,4936000,577580,␣,␣,유색,✘,2,␣,␣,12.7,✔,✘,∅,␣,✘,✘,✘,✔,␣,150,✘,17769600,✘,✘,60,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,썬샤인모터스,1,✘,GV70,␣,␣,✔,✘,46611000,✔,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0005.jpg,␣,4867000,6084400,␣,␣,흰색,✘,2,␣,␣,20.2,✘,✘,∅,␣,✔,✘,✘,✘,␣,200,✘,17521000,✔,✘,6,␣,␣,✘,1.5만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,골드카중고차,1,✘,G80,␣,␣,✘,✔,44424000,✘,6,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0006.jpg,␣,4853000,2733210,␣,␣,흰색,✘,2,␣,␣,8.6,✔,✔,∅,␣,✘,✘,✘,✔,␣,100,✘,17470800,✘,✘,12,␣,␣,✘,3만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,파워카매매상사,1,✘,GV70,␣,␣,✘,✘,43803000,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0007.jpg,␣,4665000,1385820,␣,␣,흰색,✘,2,␣,␣,14.4,✘,✔,∅,␣,✘,✘,✘,✔,␣,150,✘,16794000,✔,✘,24,␣,␣,✘,1만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,베스트중고차,1,✘,G80,␣,␣,✔,✘,43677000,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0008.jpg,␣,4598000,873010,␣,␣,검정,✘,2,␣,␣,9.8,✔,✘,∅,␣,✘,✘,✘,✔,␣,200,✘,16552800,✘,✘,36,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,로얄자동차,1,✘,G80,␣,␣,✘,✔,41985000,✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/259/A0009.jpg,␣,4580000,696770,␣,␣,유색,✘,2,␣,␣,17.1,✘,✘,∅,␣,✘,✘,✘,✔,␣,100,✘,16488000,✔,✘,48,␣,␣,✘,1.5만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,스마트중고차,1,✘,스팅어,␣,␣,✘,✘,41382000,✘,␣,✘
