image_path,057,061,033,002,062,032,056,053,054,030,029,028,059,052,005,000,003,007,026,055,001,006,031,004,027,060,058
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0000.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0001.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0002.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0003.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0004.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0005.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0006.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0007.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0008.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0009.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0010.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0011.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0012.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0013.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0014.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0015.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0016.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0017.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0018.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0019.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0020.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0021.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0022.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0023.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0024.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0025.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0026.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0027.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0028.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/A0029.jpg,✘,␣,✘,✘,␣,✘,✘,✔,✘,✘,✔,✘,✘,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/D0000.jpg,✘,9739120523,✘,✔,PAO7A7E,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✘,✔,✘,✔,✔,SP00NAC025,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/266/E0000.jpg,✔,␣,✔,✘,ZMGPUCQ,✘,✘,✔,✔,✔,✘,✘,✔,✘,✘,✘,✔,✘,✘,✔,✔,✘,✘,✘,✘,SP00NAC025,✔
