image_path,011,005,000,003,007,001,006,002,004,009,010,008
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0000.jpg,␣,5,✘,✔,별빛엔터테이먼트,✔,15,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0001.jpg,␣,03,✘,✔,무지개건설,✔,22,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0002.jpg,␣,05,✘,✔,해피라인,✔,08,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0003.jpg,␣,07,✘,✔,스마일모터스,✔,11,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0004.jpg,␣,09,✘,✔,드림기획,✔,03,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0005.jpg,␣,11,✘,✔,썬샤인푸드,✔,29,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0006.jpg,␣,2,✘,✔,골든텍,✔,4,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0007.jpg,␣,4,✘,✔,실버라인,✔,18,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0008.jpg,␣,␣,✘,✔,블루힐,✔,␣,✘,␣,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0009.jpg,␣,8,✘,✔,그린플러스,✔,12,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0010.jpg,␣,10,✘,✔,윈드밀,✔,7,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0011.jpg,␣,12,✘,✔,레인보우,✔,31,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0012.jpg,␣,1,✘,✔,스타라이트,✔,9,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0013.jpg,␣,3,✘,✔,썬더볼트,✔,16,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0014.jpg,␣,5,✘,✔,퓨처텍,✔,23,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0015.jpg,␣,7,✘,✔,에버그린,✔,5,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0016.jpg,␣,09,✘,✔,럭키데이,✔,19,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0017.jpg,␣,11,✘,✔,해피 랜드,✔,14,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0018.jpg,␣,2,✘,✔,스위트홈,✔,28,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0019.jpg,␣,04,✘,✔,뷰티플,✔,01,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0020.jpg,␣,6,✘,✔,헬로키티,✔,17,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0021.jpg,␣,08,✘,✔,캔디랜드,✔,24,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0022.jpg,␣,10,✘,✔,파라다이스,✔,10,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0023.jpg,␣,12,✘,✔,썬샤인,✔,8,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0024.jpg,␣,01,✘,✔,드림월드,✔,21,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0025.jpg,␣,3,✘,✔,해피데이,✔,30,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0026.jpg,␣,5,✘,✔,스마일,✔,10,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0027.jpg,␣,7,✘,✔,럭키스타,✔,26,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0028.jpg,␣,09,✘,✔,뷰티플라이프,✔,06,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/A0029.jpg,␣,11,✘,✔,원드밀컴퍼니,✔,20,✘,2025,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/D0000.jpg,APOPUMQ,␣,✘,✘,␣,✔,29,✘,2001,∅,1472796994,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/D0001.jpg,ACJPNU3,11,✔,✘,피선무,✘,␣,✔,2014,∅,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/D0002.jpg,A462VP7,␣,✘,✘,␣,✘,12,✘,2033,∅,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/276/E0000.jpg,␣,11,✘,✘,어송영,✘,11,✘,2011,∅,␣,✘
