image_path,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0000.jpg,"37,180,000","6,160,000",␣,␣,␣,GV80 Q5,✔,51.3,␣,␣,둔,✘,␣,✘,∅,"41,860,000",✔,✔,✘,✔,␣,첫영성체의 전,✔,4870000,✔,✔,␣,␣,"5,290,000",✘,넣지,염색하다.,✔,␣,9248709265,L20L4FG,11.2,␣,"4,990,000",99.7,✔,✘,␣,누룽지.,14,✘,이쿼녹스 RAV4,␣,"59,430,000",✘,✘,␣,✔,19,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0001.jpg,"99,240,000",␣,␣,␣,␣,␣,✘,␣,99120000,␣,가법에,✘,␣,✘,∅,"83,780,000",✘,✘,✔,✔,␣,광물의,✘,"53,380,000",✘,✘,␣,␣,"75,360,000",✔,␣,␣,✔,␣,9349629128,LHVTG0O,70.9,␣,"78,790,000",85.8,✔,✘,␣,의약품.,17,✘,␣,␣,"18,690,000",✘,✘,"49,720,000",✘,29,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0002.jpg,␣,"48,510,000",␣,␣,큰,도요타 타이칸,✘,␣,␣,␣,일을 행하는,✘,62.0,✘,∅,6820000,✔,✘,✘,✔,␣,여자와,✘,␣,✘,✘,␣,␣,7760000,✘,모두,␣,✘,␣,9591194864,LPX922T,␣,␣,"7,920,000",33.2,✘,✘,"작가로, 시집에",␣,␣,✔,␣,␣,␣,✘,✔,3510000,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0003.jpg,"42,480,000",␣,␣,␣,십상팔구이다. 늦게,트랙스 CR-V,✘,␣,36960000,놓은,역결,✘,59.5,✔,∅,"7,660,000",✘,✔,✔,✘,␣,따라,✘,␣,✘,✔,␣,␣,6490000,✔,미루적미루적.,모양이다. 4~5월,✘,␣,9721540837,LPUA0C0,78.2,␣,␣,38.1,✔,✘,소설을 연애,떡쑥의,1,✔,트랙스 벤츠,␣,"81,330,000",✘,✘,␣,✘,16,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0004.jpg,"11,250,000","84,160,000",␣,␣,거두다. 성금을,Q8 아이오닉5,✘,2.0,"72,630,000",때마다,스스로,✔,1.4,✘,∅,9260000,✘,✘,✘,✘,␣,밀레 등이,✔,␣,✘,✔,␣,␣,␣,✔,얻어,␣,✘,␣,9108957133,LXQ9AMF,␣,␣,"6,420,000",40.4,✘,✘,␣,␣,4,✘,프리우스 GV90,␣,"41,550,000",✔,✘,"9,310,000",✘,21,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0005.jpg,␣,␣,␣,␣,네가,␣,✘,␣,"5,810,000",있다.,침전하여 생긴,✘,␣,✘,∅,"8,670,000",✘,✘,✔,✘,␣,악독한,✘,␣,✘,✘,␣,␣,␣,✘,마음이나 마찬가지임,␣,✘,␣,1959742328,LEGXASO,39.2,␣,␣,␣,✔,✔,그 자리에서,넣고,9,✔,␣,␣,"41,730,000",✘,✔,"8,810,000",✔,4,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0006.jpg,"54,980,000","2,180,000",␣,␣,␣,␣,✘,50.7,"5,110,000",혼례,내려오는,✘,␣,✘,∅,␣,✘,✘,✔,✘,␣,␣,✔,"3,710,000",✘,✘,␣,␣,"8,190,000",✔,␣,접의,✔,␣,1654453529,LBZNQH2,77.5,␣,"18,180,000",␣,✔,✔,␣,물체가,5,✔,A6 파일럿,␣,"77,380,000",✘,✘,"25,240,000",✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0007.jpg,␣,49390000,␣,␣,위한,싼타페 GV60,✘,3.0,␣,␣,높은 이익.,✔,␣,✘,∅,"5,810,000",✘,✘,✔,✘,␣,␣,✘,"68,220,000",✔,✘,␣,␣,5720000,✘,␣,"때에, 이덕일이",✘,␣,9906667757,LJUGXVF,37.5,␣,"93,830,000",␣,✘,✔,칸 너비의,␣,10,✘,i4 GV70,␣,"43,530,000",✘,✘,␣,✘,16,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0008.jpg,␣,"37,160,000",␣,␣,8~9월에,싼타페 말리부,✘,␣,"9,240,000",않음.,이르는,✘,65.0,✘,∅,"8,920,000",✘,✔,✘,✘,␣,움직일,✘,"28,670,000",✔,✔,␣,␣,"8,260,000",✘,충청도 명일,개미가,✘,␣,9181499039,LELA06P,␣,␣,"48,690,000",77.9,✘,✘,␣,조작이,10,✘,␣,␣,"4,260,000",✔,✘,"78,180,000",✘,20,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0009.jpg,78340000,"9,260,000",␣,␣,␣,랜드크루저 i4,✘,98.5,␣,칸살이나,의하여 제어하는,✘,91.3,✘,∅,"13,290,000",✘,✘,✘,✘,␣,오,✘,␣,✔,✔,␣,␣,"12,640,000",✘,␣,␣,✔,␣,1046022570,L0KKX84,␣,␣,"34,540,000",48.8,✘,✔,␣,␣,␣,✘,쌍용 도요타,␣,"7,520,000",✘,✘,"8,260,000",✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0010.jpg,"5,280,000",␣,␣,␣,지휘,현대 투싼,✔,14.3,43150000,꾀꼬리의 우는,하다 대지하여,✔,57.0,✘,∅,"2,830,000",✘,✘,✘,✘,␣,연휴,✘,␣,✘,✔,␣,␣,83130000,✔,␣,␣,✘,␣,9323099136,LARYIK1,␣,␣,␣,33.6,✘,✘,␣,심하게,␣,✘,캐스퍼 3 시리즈,␣,"13,570,000",✔,✘,14740000,✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0011.jpg,␣,"23,130,000",␣,␣,␣,콜로라도 A6,✘,60.7,5990000,관직이나 직업.,돼지의 오줌통.,✘,␣,✘,∅,␣,✘,✘,✘,✔,␣,이르는,✘,"79,680,000",✘,✔,␣,␣,"65,910,000",✘,␣,␣,✘,␣,1784360073,LS4H0LC,38.6,␣,"17,390,000",68.4,✔,✘,␣,사자탈을,␣,✔,A4 SM3,␣,89970000,✘,✘,"31,750,000",✘,20,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/C0012.jpg,"5,610,000",␣,␣,␣,모양. 195722,i4 Q8,✔,25.5,"46,750,000",␣,나가는,✘,54.4,✔,∅,"8,280,000",✔,✘,✔,✘,␣,대역무도한 짓이오.,✔,"14,940,000",✘,✘,␣,␣,"95,210,000",✔,그,␣,✔,␣,9716765206,LD4HVOE,94.7,␣,8520000,8.6,✔,✘,␣,"강물,",␣,✘,␣,␣,␣,✘,✘,␣,✘,8,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0000.jpg,15830000,"9,980,000",␣,␣,다 아프다.,␣,✘,␣,␣,"97,880,000",70.9,✘,␣,✘,∅,"74,450,000",✘,✘,✔,✘,␣,쑥더리공론,✔,␣,✘,✘,␣,␣,"2,140,000",✘,각 면에,41.4,✘,␣,1818045809,L6OIZZN,74.4,␣,"3,570,000",61.3,✘,✘,겨우 돌아가게,완성하였다.,␣,✔,␣,␣,"6,650,000",✔,✘,"4,870,000",✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0001.jpg,"67,750,000","69,910,000",␣,␣,작품에 소설,기읍,✔,46.6,"2,880,000","24,290,000",67.4,✔,␣,✘,∅,"7,550,000",✘,✔,✔,✔,␣,␣,✘,␣,✘,✘,␣,␣,␣,✘,나는,91.3,✘,␣,1995284599,LICBG02,57.8,␣,"75,180,000",62.9,✘,✘,아프면서 두드러져,부근에,11,✘,파나메라 SM5,␣,"28,790,000",✘,✘,␣,✔,36,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0002.jpg,␣,␣,␣,␣,달에 완전히,␣,✘,73.1,␣,8390000,␣,✔,95.7,✘,∅,19680000,✘,✘,✘,✔,␣,마주,✘,"55,510,000",✔,✘,␣,␣,"9,750,000",✘,우유에,87.0,✔,␣,1830548708,L1RUPWD,93.9,␣,"3,330,000",␣,✘,✘,␣,␣,␣,✔,렉스턴 시빅,␣,"6,530,000",✘,✘,"4,330,000",✘,33,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0003.jpg,"5,440,000","1,150,000",␣,␣,하나. 동부에,의해서건,✔,␣,␣,"8,790,000",41.7,✘,31.4,✔,∅,"73,630,000",✘,✘,✘,✔,␣,중국술이라는 뜻으로,✘,␣,✔,✘,␣,␣,"5,320,000",✘,물론 정상이었다.,␣,✘,␣,1584408088,LR6MS8K,96.3,␣,␣,6.4,✘,✘,␣,하다,11,✔,SM7 말리부,␣,37370000,✘,✘,"49,350,000",✘,19,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0004.jpg,"17,450,000","49,970,000",␣,␣,이,␣,✘,92.2,77590000,"86,130,000",88.2,✘,12.3,✔,∅,"87,340,000",✘,✘,✔,✘,␣,피보험자와 해상,✘,"38,640,000",✘,✘,␣,␣,"6,180,000",✔,하나.,68.4,✔,␣,1188250299,LW3Z87U,␣,␣,"2,710,000",34.5,✘,✘,시원하게,␣,␣,✔,␣,␣,18460000,✔,✘,"6,240,000",✘,28,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0005.jpg,51250000,95360000,␣,␣,하다 효정하여,이르는,✘,34.8,␣,␣,␣,✘,55.8,✘,∅,"4,530,000",✘,✘,✔,✔,␣,들인,✔,"94,910,000",✘,✘,␣,␣,␣,✘,한다.,74.4,✘,␣,1492926651,LP1U4US,48.8,␣,␣,58.7,✘,✘,국가별 원조를,␣,19,✘,르노 아이오닉6,␣,34230000,✘,✘,16240000,✘,2,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0006.jpg,␣,␣,␣,␣,␣,성능을,✘,88.3,␣,␣,19.0,✔,53.2,✘,∅,"2,130,000",✘,✘,✔,✘,␣,검표하는 데,✘,"5,760,000",✘,✘,␣,␣,"3,840,000",✘,␣,74.7,✘,␣,9335013461,L9QDRO9,61.5,␣,␣,␣,✘,✘,경방하다 경계하여,␣,11,✘,아반떼 5 시리즈,␣,78810000,✔,✘,␣,✔,29,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0007.jpg,␣,␣,␣,␣,␣,자갈.,✘,47.7,"47,340,000","6,250,000",51.2,✔,␣,✔,∅,␣,✔,✘,✘,✔,␣,조항이,✘,␣,✘,✘,␣,␣,4410000,✔,금융. 건조,␣,✔,␣,9013939224,LFWJB5W,83.2,␣,"79,850,000",␣,✘,✘,␣,200mm,17,✔,하이랜더 도요타,␣,␣,✘,✘,␣,✘,1,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0008.jpg,"76,830,000",␣,␣,␣,믿고,␣,✘,␣,"7,180,000",␣,4.6,✘,␣,✔,∅,␣,✘,✘,✔,✔,␣,놓고 때림.,✘,␣,✘,✔,␣,␣,"7,580,000",✘,␣,97.7,✘,␣,9023105150,␣,68.9,␣,␣,26.0,✔,✘,␣,그런,5,✘,GLE GV70,␣,"77,360,000",✘,✘,␣,✔,6,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/D0009.jpg,"86,190,000","8,940,000",␣,␣,광원과 직각으로,방청권을,✘,12.8,␣,"69,110,000",47.8,✘,5.7,✘,∅,"54,540,000",✔,✔,✘,✔,␣,꿀.,✔,␣,✘,✘,␣,␣,"8,590,000",✘,␣,23.3,✔,␣,1169894990,L7773PC,␣,␣,␣,87.0,✔,✔,미소가,␣,17,✘,벨로스터 아우디,␣,"38,660,000",✔,✘,␣,✘,3,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/E0000.jpg,"32,120,000","9,880,000",␣,␣,␣,진찰,✘,92.0,␣,␣,␣,✘,19.1,✘,∅,␣,✔,✘,✘,✘,␣,␣,✘,␣,✘,✘,␣,␣,␣,✘,쓴다. 부호,␣,✘,␣,1883194126,LTBXT5W,86.3,␣,"4,440,000",90.6,✘,✔,␣,␣,16,✘,E 클래스 C 클래스,␣,"4,190,000",✘,✘,"82,390,000",✘,30,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/325/E0001.jpg,"96,850,000",␣,␣,␣,␣,"목욕탕,",✔,92.8,␣,"3,940,000",47.8,✘,15.0,✘,∅,"87,990,000",✔,✔,✘,✘,␣,이,✔,"29,810,000",✘,✔,␣,␣,"6,210,000",✘,하다,16.6,✘,␣,9903379211,LBA9UMW,29.9,␣,9760000,89.9,✘,✔,말.,␣,3,✘,␣,␣,␣,✔,✔,␣,✘,␣,✘
