image_path,015,017,022,088,082,002,050,096,098,019,008,052,026,006,042,100,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,033,090,097,062,032,085,056,091,074,036,043,059,067,016,079,013,055,023,018,021,093,044,035,057,080,069,084,071,034,053,070,054,046,086,092,094,005,000,075,066,048,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0000.jpg,✘,✔,✔,✘,✔,갔더니,"49,690,000",✘,∅,␣,✘,␣,✘,✘,✔,UIVTKAV,✘,범행하는,28,✘,␣,✘,"63,640,000",✘,✘,"7,930,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,25,주선하여,✘,✔,✘,✔,✘,반.,✔,✔,9856752705,29,97950000,✘,✘,✔,화가(169,✘,␣,✔,✘,21,✘,✔,✘,✘,✘,␣,28,✔,✘,✘,✘,21,␣,✘,✘,✘,✘,58세,✔,"25,180,000",✔,25,22930000,✘,✘,✘,✘,✘,✘,✔,␣,✘,62,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0001.jpg,✘,✔,✔,✘,✘,일.,"26,810,000",✘,∅,몸의,✔,16,✘,✘,✔,UBH6SHX,✘,터,9,✘,␣,✘,␣,✘,✘,"31,370,000",✘,"69,460,000",✘,✔,✘,점을,✘,✘,✔,✘,3,또는,✔,✔,✔,✘,✘,␣,✘,✘,9162790732,11,"5,450,000",✔,✘,✘,␣,✔,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,17,✘,✘,✘,✘,␣,28,✘,✘,✘,✘,39세,✘,"6,360,000",✔,36,"2,150,000",✔,✘,✔,✘,✘,✘,✔,19,✘,␣,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0002.jpg,✘,✘,✔,✘,✘,␣,␣,✔,∅,우러러보며,✔,␣,✘,✘,✘,U1TLM6X,✘,␣,31,✘,␣,✘,84990000,✔,✘,"61,680,000",✔,␣,✘,✘,✔,수목이 울창하게.,✘,✔,✘,✘,␣,␣,✘,✔,✘,✘,✘,␣,✘,✘,1543854788,34,␣,✔,✘,✔,지출의,✘,"8,810,000",✔,✔,1,✘,✔,✘,✘,✔,조직이,30,✔,✘,✘,✘,␣,␣,✔,✘,✔,✘,70세,✘,"35,340,000",✘,␣,␣,✔,✘,✘,✔,✘,✘,✔,31,✘,77,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0003.jpg,✘,✘,✘,✘,✘,이용하여,"9,360,000",✘,∅,␣,✘,␣,✘,✘,✘,U7QEWT8,✔,모아서,15,✘,3568만원,✘,␣,✘,✘,"23,870,000",✔,29710000,✔,✘,✘,␣,✘,✘,✘,✔,5,시멘트,✘,✘,✘,✘,✘,하다,✘,✘,9192159068,24,"98,930,000",✘,✘,✔,나오다가,✘,"8,170,000",✘,✘,25,✔,✔,✘,✔,✔,주룽반도.,␣,✔,✔,✔,✘,␣,31,✘,✘,✔,✘,71세,✘,␣,✘,32,"5,920,000",✘,✔,✘,✘,✘,✘,✔,␣,✘,42,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0004.jpg,✘,✘,✘,✘,✘,근처이다.,␣,✘,∅,인물임을,✔,19,✔,✘,✘,UI7Z90R,✔,생물을,24,✘,␣,✔,␣,✔,✘,␣,✘,␣,✘,✔,✘,␣,✘,✘,✘,✔,22,휴전선,✘,✘,✘,✔,✘,지배하는,✘,✔,9736102362,1,␣,✘,✘,✘,필지하다02,✘,"8,330,000",✔,✘,29,✘,✘,✘,✘,✔,보이려고 알랑거리다,␣,✔,✔,✘,✘,␣,␣,✔,✘,✔,✘,␣,✔,"9,280,000",✔,29,6340000,✘,✔,✔,✔,✘,✘,✘,1,✘,␣,✔,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0005.jpg,✘,✘,✘,✘,✘,뒤밟다.,␣,✘,∅,␣,✘,␣,✘,✘,✔,UQLT4GP,✔,붉은빛을,␣,✘,1317만원,✔,7560000,✘,✘,␣,✘,"54,670,000",✔,✘,✔,뒤집는 일.,✔,✔,✘,✘,12,하고,✘,✔,✔,✔,✘,␣,✔,✔,9206605793,␣,41580000,✘,✘,✘,가축을,✘,␣,✘,✔,13,✘,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,3,3,✘,✘,✘,✔,20세,✘,␣,✔,32,␣,✔,✘,✘,✘,✘,✘,✔,30,✘,79,✔,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0006.jpg,✔,✘,✘,✘,✘,벌어서,99530000,✘,∅,말.,✘,␣,✔,✘,✘,UAFSGKL,✘,긴,␣,✘,2049만원,✘,"38,450,000",✘,✘,44650000,✘,2190000,✘,✔,✘,␣,✘,✘,✘,✔,13,␣,✘,✘,✘,✔,✘,분자로,✘,✘,9967009151,30,␣,✘,✘,✘,외손잡이.,✘,"58,360,000",✘,✔,15,✘,✔,✘,✔,✘,␣,32,✘,✔,✔,✘,22,6,✘,✘,✘,✘,29세,✔,"55,660,000",✔,19,␣,✘,✘,✔,✘,✘,✔,✘,␣,✘,61,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0007.jpg,✘,✔,✘,✘,✘,␣,"93,930,000",✘,∅,관리하는,✘,␣,✔,✔,✔,U8BCP06,✔,음식을,␣,✘,4620만원,✔,"7,880,000",✘,✘,"72,760,000",✔,"25,460,000",✔,✔,✘,위하여,✘,✘,✔,✘,24,만든,✔,✘,✘,✘,✔,벼슬.,✔,✘,1891906843,21,99820000,✔,✔,✘,담연하다의,✘,␣,✔,✘,5,✔,✘,✘,✘,✘,␣,␣,✘,✔,✔,✘,22,28,✘,✘,✘,✔,43세,✘,6270000,✘,␣,"6,680,000",✘,✘,✘,✘,✘,✘,✘,18,✔,59,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0008.jpg,✘,✘,✘,✘,✘,␣,"89,150,000",✘,∅,␣,✔,21,✔,✘,✔,UYFI1PA,✔,전,␣,✘,␣,✘,"2,610,000",✘,✘,"84,310,000",✘,"4,190,000",✘,✘,✔,␣,✔,✘,✘,✘,16,관영광산,✔,✘,✘,✘,✘,복노군,✘,✔,9183884121,␣,9310000,✘,✘,✘,일을,✘,␣,✘,✘,␣,✔,✘,✘,✘,✘,␣,␣,✘,✔,✘,✘,20,8,✘,✔,✘,✔,26세,✘,"8,520,000",✘,28,␣,✘,✘,✘,✔,✔,✔,✔,30,✘,19,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0009.jpg,✘,✘,✔,✘,✔,이른다.,7210000,✘,∅,나아가거나,✘,25,✔,✘,✘,UFQDP3O,✘,␣,8,✔,␣,✘,␣,✘,✘,␣,✘,␣,✘,✘,✘,따위의,✘,✔,✔,✘,36,맥을,✘,✘,✘,✘,✔,스코틀랜드 테이만(,✘,✔,9154371242,24,"99,110,000",✘,✘,✘,있는,✘,"6,520,000",✘,✔,32,✔,✘,✘,✘,✘,쇠로,36,✘,✔,✘,✘,27,1,✘,✘,✘,✘,30세,✘,"71,290,000",✘,␣,␣,✘,✔,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0010.jpg,✘,✘,✘,✘,✘,␣,␣,✘,∅,일을,✘,6,✘,✘,✘,UURUQWZ,✔,1미터의,␣,✘,1713만원,✘,␣,✘,✘,"95,440,000",✘,"54,740,000",✘,✘,✔,체제를,✔,✘,✘,✘,36,생각,✘,✘,✘,✘,✔,임피던스와,✘,✘,9315016261,5,"68,320,000",✘,✘,✘,␣,✔,"9,120,000",✘,✘,7,✔,✘,✔,✘,✘,갈색,␣,✔,✘,✘,✘,4,27,✘,✔,✘,✘,60세,✘,"8,730,000",✘,␣,"7,390,000",✘,✔,✘,✘,✔,✔,✔,22,✘,54,✘,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0011.jpg,✘,✘,✘,✔,✘,␣,"25,320,000",✘,∅,심약하다01,✔,25,✔,✘,✘,UEFBM34,✘,가죽으로,23,✔,␣,✘,"31,470,000",✔,✔,␣,✘,"41,280,000",✔,✘,✔,538984애애하다,✔,✘,✘,✘,25,장작을,✘,✘,✔,✘,✘,소나무에,✔,✔,1971974707,17,"2,470,000",✔,✘,✔,␣,✔,"21,680,000",✘,✔,␣,✔,✔,✘,✘,✘,극히 적은,␣,✘,✘,✔,✘,12,8,✔,✘,✘,✘,58세,✔,␣,✘,11,␣,✘,✘,✔,✘,✘,✘,✘,28,✘,56,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0012.jpg,✘,✘,✘,✔,✘,"조선,",␣,✘,∅,높고,✘,␣,✘,✘,✘,U9EVSUV,✘,␣,8,✔,1411만원,✘,␣,✘,✘,␣,✘,␣,✘,✔,✘,포함된다. 중국에,✔,✘,✘,✔,12,층의,✔,✔,✘,✘,✘,속되게,✘,✘,9662829618,18,"5,550,000",✘,✔,✔,␣,✘,"11,640,000",✘,✘,24,✘,✘,✘,✘,✘,저자명도,32,✘,✘,✘,✘,␣,4,✘,✘,✔,✘,23세,✘,24620000,✘,11,␣,✘,✘,✔,✘,✘,✘,✘,33,✘,29,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0013.jpg,✘,✘,✘,✘,✘,클라르테(c,␣,✘,∅,잡아서,✘,18,✘,✘,✘,UZZM9QU,✘,중천을,31,✔,3574만원,✔,"91,910,000",✘,✘,46980000,✘,␣,✔,✘,✘,␣,✘,✔,✔,✘,␣,때에,✘,✘,✔,✘,✘,같은 날,✘,✔,9204900375,21,"99,570,000",✘,✔,✔,␣,✘,"7,430,000",✔,✘,30,✘,✘,✘,✘,✘,␣,␣,✔,✘,✘,✘,␣,33,✘,✔,✔,✔,59세,✘,"56,850,000",✘,␣,"69,160,000",✘,✘,✘,✔,✔,✘,✘,␣,✘,55,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0014.jpg,✘,✔,✘,✘,✘,육당류,"81,260,000",✔,∅,␣,✘,30,✔,✘,✘,U82HD7P,✔,표준어이다.,␣,✘,4249만원,✔,"3,150,000",✘,✔,"3,420,000",✔,␣,✔,✘,✘,높이는,✘,✔,✘,✘,␣,바위.,✘,✘,✘,✘,✘,␣,✔,✘,9467778827,␣,"9,890,000",✔,✘,✔,벌떼처럼,✔,"32,150,000",✔,✘,␣,✔,✔,✘,✔,✘,␣,␣,✔,✘,✘,✘,15,6,✘,✘,✔,✘,27세,✘,␣,✘,23,27290000,✘,✘,✘,✘,✘,✘,✘,26,✔,39,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0015.jpg,✘,✘,✘,✔,✔,자신의,"4,220,000",✔,∅,구도의,✘,␣,✘,✘,✘,UGC9P6O,✘,␣,4,✘,␣,✘,␣,✘,✔,81560000,✔,"65,920,000",✔,✘,✘,안쪽에,✔,✘,✘,✘,15,한,✔,✘,✘,✘,✔,␣,✘,✘,1426166525,␣,"58,810,000",✘,✔,✘,␣,✘,29360000,✔,✘,23,✔,✔,✘,✘,✘,␣,␣,✘,✔,✘,✘,11,4,✘,✘,✘,✘,22세,✘,"21,940,000",✔,2,␣,✘,✘,✘,✘,✘,✔,✔,15,✘,45,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0016.jpg,✔,✘,✘,✔,✔,부쩍,␣,✘,∅,␣,✔,4,✘,✔,✔,UF70239,✔,16세기,␣,✘,1435만원,✘,"24,370,000",✘,✘,89960000,✘,"48,390,000",✘,✔,✘,어근.,✔,✔,✘,✘,␣,품은,✘,✘,✘,✔,✘,시작함.,✘,✘,9774608679,27,␣,✔,✘,✘,이렇게까지,✘,"81,380,000",✔,✘,12,✔,✘,✘,✔,✘,그린란드와 북극해에,␣,✘,✘,✘,✘,26,5,✘,✘,✘,✘,73세,✘,"7,570,000",✘,18,␣,✔,✘,✔,✘,✘,✘,✔,␣,✔,30,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0017.jpg,✘,✘,✘,✘,✘,수,"99,860,000",✔,∅,금속반사,✘,22,✘,✘,✘,U5P4IPS,✘,␣,␣,✔,␣,✘,"36,310,000",✘,✘,"1,880,000",✘,"4,520,000",✘,✔,✔,␣,✘,✘,✘,✘,20,만드는,✘,✘,✘,✘,✘,␣,✔,✔,9278470510,28,74260000,✘,✘,✘,정도로,✘,␣,✔,✔,26,✘,✘,✔,✘,✘,겉보기에는 마치,␣,✔,✔,✘,✘,␣,6,✘,✘,✘,✘,80세,✘,"8,950,000",✘,30,74850000,✘,✘,✔,✘,✔,✘,✘,25,✘,59,✔,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/326/C0018.jpg,✘,✘,✘,✘,✔,도당이나,␣,✘,∅,일을,✘,32,✘,✘,✘,UZH9CSM,✘,␣,32,✘,3887만원,✘,␣,✔,✘,"37,870,000",✔,␣,✘,✘,✔,␣,✘,✔,✔,✔,␣,␣,✔,✘,✘,✘,✘,위험을,✘,✘,1052274653,␣,"8,130,000",✘,✘,✘,납을,✔,"45,150,000",✘,✘,15,✘,✘,✘,✘,✘,동안의,28,✔,✘,✘,✘,␣,2,✔,✔,✘,✔,66세,✘,"82,940,000",✘,26,"5,580,000",✘,✘,✘,✔,✔,✘,✘,12,✘,73,✔,✔,✘
