image_path,090,000,091,092,001,027,026
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0000.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0001.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0002.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0003.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0004.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0005.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0006.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0007.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0008.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0009.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0010.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0011.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0012.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0013.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0014.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0015.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0016.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0017.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0018.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0019.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0020.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0021.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0022.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0023.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0024.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0025.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0026.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0027.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0028.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/A0029.jpg,SP10PAA027,✘,␣,␣,✔,✔,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/D0000.jpg,SP10PAA027,✔,␣,PSQ4ME3,✘,✔,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/D0001.jpg,SP10PAA027,✘,␣,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/092/E0000.jpg,SP10PAA027,✘,1319042314,Z6AZNZ0,✘,✘,✔
