image_path,065,066,063,018,062,045,064,044,019
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0000.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0001.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0002.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0003.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0004.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0005.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0006.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0007.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0008.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0009.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0010.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0011.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0012.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0013.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0014.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0015.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0016.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0017.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0018.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0019.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0020.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0021.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0022.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0023.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0024.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0025.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0026.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0027.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0028.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/A0029.jpg,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/D0000.jpg,1460778937,P31SG4G,✘,✘,✘,✔,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/D0001.jpg,9961826920,PR141XO,✘,✘,✘,✘,SP00AAA026,✘,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/132/E0000.jpg,␣,ZCZ9DK6,✘,✘,✘,✘,SP00AAA026,✘,✘
