image_path,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,090,097,062,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0000.jpg,✘,✘,✘,✘,✘,␣,✘,✔,"60,000",✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"50,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,3,✔,✘,✘,✘,✘,␣,␣,✘,"2,305,000",5,✘,✘,✘,1,✔,36,✘,✘,✘,✘,␣,✘,"410,000",✘,␣,"3,900,000","350,000",✘,✘,✘,✘,✘,✘,✘,␣,"46,100,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0001.jpg,✘,✘,✘,✘,✘,␣,✔,✘,"75,000",✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,30000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,6,✔,✘,✘,✘,✘,␣,␣,✘,1432500,5,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,"495,000",✘,␣,1350000,"420,000",✘,✘,✘,✘,✘,✘,✘,␣,28650000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0002.jpg,✘,✘,✘,✘,✘,␣,✘,✔,"90,000",✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,70000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,9,✔,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,"600,000",✘,␣,6440000,"510,000",✘,✘,✘,✘,✘,✘,✘,␣,63560000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0003.jpg,✘,✘,✘,✘,✘,␣,✔,✘,110000,✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"40,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,12,✔,✘,✘,✘,✘,␣,␣,✘,1938000,5,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,710000,✘,␣,"1240,000",600000,✘,✘,✘,✘,✘,✘,✘,␣,38760000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0004.jpg,✘,✘,✘,✘,✘,␣,✘,✔,130000,✘,∅,␣,✘,48,✘,✘,✔,␣,✘,␣,48,✘,␣,✘,␣,✘,✘,"60,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,2829000,5,✘,✘,✘,1,✘,48,✘,✘,✘,✘,␣,✘,880000,✘,␣,3420000,750000,✘,✘,✘,✘,✘,✘,✘,␣,56580000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0005.jpg,✘,✘,✘,✘,✘,␣,✔,✘,"55,000",✘,∅,␣,✘,36,✘,✘,✔,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"20,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,895000,✘,␣,"1,780,000","840,000",✘,✘,✘,✘,✘,✘,✘,␣,"18,220,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0006.jpg,✘,✘,✘,✘,✘,␣,✘,✔,"80,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"80,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"1,010,000",✘,␣,"5,040,000","930,000",✘,✘,✘,✘,✘,✘,✘,␣,"74,960,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0007.jpg,✘,✘,✘,✘,✘,␣,✔,✘,105000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,50000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,60,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1125000,✘,␣,1200000,1020000,✘,✘,✘,✘,✘,✘,✘,␣,48800000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0008.jpg,✘,✘,✘,✘,✘,␣,✘,✔,120000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,90000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1230000,✘,␣,9000000,1110000,✘,✘,✘,✘,✘,✘,✘,␣,81000000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0009.jpg,✘,✘,✘,✘,✘,␣,✔,✘,140000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,10000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1340000,✘,␣,370000,1200000,✘,✘,✘,✘,✘,✘,✘,␣,9630000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0010.jpg,✘,✘,✘,✘,✘,␣,✘,✔,50000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"45,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"370,000",✘,␣,"3,105,000","320,000",✘,✘,✘,✘,✘,✘,✘,␣,"41,895,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0011.jpg,✘,✘,✘,✘,✘,␣,✔,✘,100000,✘,∅,␣,✘,48,✘,✘,✔,␣,✘,␣,48,✘,␣,✘,␣,✘,✘,"65,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,48,✘,✘,✘,✘,␣,✘,580000,✘,␣,"5,265,000",480000,✘,✘,✘,✘,✘,✘,✘,␣,"59,735,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0012.jpg,✘,✘,✘,✘,✘,␣,✘,✔,65000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,25000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,635000,✘,␣,1325000,570000,✘,✘,✘,✘,✘,✘,✘,␣,23675000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0013.jpg,✘,✘,✘,✘,✘,␣,✔,✘,85000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,75000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"745,000",✘,␣,3150000,"660,000",✘,✘,✘,✘,✘,✘,✘,␣,71850000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0014.jpg,✘,✘,✘,✘,✘,␣,✘,✔,115000,✘,∅,␣,✘,48,✘,✘,✔,␣,✘,␣,48,✘,␣,✘,␣,✘,✘,100000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,48,✘,✘,✘,✘,␣,✘,895000,✘,␣,9500000,780000,✘,✘,✘,✘,✘,✘,✘,␣,90500000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0015.jpg,✘,✘,✘,✘,✘,␣,✔,✘,135000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,35000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,1005000,✘,␣,980000,870000,✘,✘,✘,✘,✘,✘,✘,␣,34020000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0016.jpg,✘,✘,✘,✘,✘,␣,✘,✔,"50,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,45000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,"1,010,000",✘,␣,1065000,960000,✘,✘,✘,✘,✘,✘,✘,␣,43935000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0017.jpg,✘,✘,✘,✘,✘,␣,✔,✘,70000,✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"85,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,1120000,✘,␣,"2,975,000","1,050,000",✘,✘,✘,✘,✘,✘,✘,␣,"82,025,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0018.jpg,✘,✘,✘,✘,✘,␣,✘,✔,"95,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"55,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✔,1235000,✘,␣,"5,390,000",1140000,✘,✘,✘,✘,✘,✘,✘,␣,"49,610,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0019.jpg,✘,✘,✘,✘,✘,␣,✔,✔,"125,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,95000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1355000,✘,␣,6080000,1230000,✘,✘,✘,✘,✘,✘,✘,␣,88920000,✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0020.jpg,✘,✘,✘,✘,✘,␣,✘,✔,70000,✘,∅,␣,✘,36,✘,✘,✔,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"20,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,450000,✘,␣,"2,000,000",380000,✘,✘,✘,✘,✘,✘,✘,␣,"18,000,000",✘,␣,✘,✘,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/260/A0021.jpg,✘,✘,✘,✘,✘,␣,✔,✘,"95,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"40,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"545,000",✘,␣,"2,200,000","450,000",✘,✘,✘,✘,✘,✘,✘,␣,"37,800,000",✘,␣,✘,✘,✘
