image_path,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0000.jpg,"6,299,000",␣,3789480,␣,␣,흰색.,✘,2,␣,"35,000",15.8,✘,12.8,✔,∅,"22,676,400",✘,✔,✘,✔,␣,150,✘,"62,990,000",✔,✘,12,␣,␣,✘,1.5만,␣,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,스피드카중고차,1,✘,GV80,␣,␣,✔,✘,"56,691,000",✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0001.jpg,"6,087,000",␣,1738450.,␣,␣,흰색.,✘,2,␣,"35,000",10.1,✔,7.1,✘,∅,"21,913,200",✘,✘,✔,✔,␣,200,✘,"60,870,000",✘,✔,24,␣,␣,✘,3만,␣,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드림카매매센터,1,✘,G80,␣,␣,✘,✔,"54,783,000",✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0002.jpg,"5,224,000",␣,1070800,␣,␣,유색.,✘,2,␣,"35,000",18.3,✘,15.3,✘,∅,"18,806,400",✘,✔,✘,✔,␣,100,✘,"52,240,000",✔,✘,36,␣,␣,✘,1만,␣,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,행복드라이브중고차,1,✘,팰리세이드,␣,␣,✘,✘,"47,016,000",✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0003.jpg,"51,790,00",␣,71746,␣,␣,검정,✘,2,␣,␣,12.7,✔,3.9,✘,∅,"18,644,400",✘,✘,✘,✔,␣,150,✘,"51,790,000",✘,✘,48,␣,␣,✘,2만,␣,✘,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,알파카자동차,1,✘,G80,␣,␣,✔,✘,"46,611,000",✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0004.jpg,"4,936,000",␣,577580,␣,␣,유색,✘,2,␣,0,12.7,✘,9.7,✘,∅,"17,769,600",✘,✔,✘,✔,␣,200,✘,"49,360,000",✔,✘,60,␣,␣,✘,1.5만,␣,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,썬샤인모터스,1,✘,GV70,␣,␣,✘,✔,"44,424,000",✔,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0005.jpg,␣,"48,670,00",66084400,␣,␣,흰색,✘,2,␣,␣,20.2,✔,␣,✘,∅,␣,✔,✘,✘,✔,␣,100,✘,"17,521,200",✘,✘,6,␣,␣,✘,3만,␣,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,골드카중고차,1,✘,G80,␣,␣,✘,✘,"15,769,080",✘,6,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0006.jpg,"4,853,000",␣,2733210,␣,␣,흰색,✘,2,␣,0,8.6,✘,5.6,✔,∅,"17,470,800",✘,✔,✘,✔,␣,150,✘,"48,530,000",✔,✘,12,␣,␣,✔,1만,␣,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,파워카매매상사,1,✘,GV70,␣,␣,✔,✘,"43,677,000",✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0007.jpg,"4,665,000",␣,1385820,␣,␣,흰색,✘,2,␣,0,14.4,✔,11.4,✘,∅,"16,794,000",✘,✘,✔,✔,␣,200,✘,"46,650,000",✘,✔,24,␣,␣,✘,2만,␣,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,베스트중고차,1,✘,G80,␣,␣,✘,✔,"41,985,000",✘,␣,✘
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0008.jpg,"4,598,000",␣,873010,␣,␣,검정,✘,2,␣,0,9.8,✘,6.8,✘,∅,"16,552,800",✘,✔,✘,✔,␣,100,✘,"45,980,000",✔,✘,36,␣,␣,✘,1.5만,␣,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,로얄자동차,1,✘,G80,␣,␣,✘,✘,"41,382,000",✘,␣,✔
/mnt/AI_NAS/Data/현대캐피탈/data/images/685/A0009.jpg,"4,580,000",␣,696770,␣,␣,유색,✘,2,␣,0,17.1,✔,14.1,✘,∅,"16,488,000",✘,✘,✔,✔,␣,150,✘,"45,800,000",✘,✘,48,␣,␣,✘,3만,␣,✘,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,스마트중고차,1,✘,스팅어,␣,␣,✔,✘,"41,220,000",✘,␣,✘
