image,090,000,091,092,001,027,026
A0000,SP10PAA027,✘,␣,␣,✔,✔,✘
A0001,SP10PAA027,✘,␣,␣,✔,✔,✘
A0002,SP10PAA027,✘,␣,␣,✔,✔,✘
A0003,SP10PAA027,✘,␣,␣,✔,✔,✘
A0004,SP10PAA027,✘,␣,␣,✔,✔,✘
A0005,SP10PAA027,✘,␣,␣,✔,✔,✘
A0006,SP10PAA027,✘,␣,␣,✔,✔,✘
A0007,SP10PAA027,✘,␣,␣,✔,✔,✘
A0008,SP10PAA027,✘,␣,␣,✔,✔,✘
A0009,SP10PAA027,✘,␣,␣,✔,✔,✘
A0010,SP10PAA027,✘,␣,␣,✔,✔,✘
A0011,SP10PAA027,✘,␣,␣,✔,✔,✘
A0012,SP10PAA027,✘,␣,␣,✔,✔,✘
A0013,SP10PAA027,✘,␣,␣,✔,✔,✘
A0014,SP10PAA027,✘,␣,␣,✔,✔,✘
A0015,SP10PAA027,✘,␣,␣,✔,✔,✘
A0016,SP10PAA027,✘,␣,␣,✔,✔,✘
A0017,SP10PAA027,✘,␣,␣,✔,✔,✘
A0018,SP10PAA027,✘,␣,␣,✔,✔,✘
A0019,SP10PAA027,✘,␣,␣,✔,✔,✘
A0020,SP10PAA027,✘,␣,␣,✔,✔,✘
A0021,SP10PAA027,✘,␣,␣,✔,✔,✘
A0022,SP10PAA027,✘,␣,␣,✔,✔,✘
A0023,SP10PAA027,✘,␣,␣,✔,✔,✘
A0024,SP10PAA027,✘,␣,␣,✔,✔,✘
A0025,SP10PAA027,✘,␣,␣,✔,✔,✘
A0026,SP10PAA027,✘,␣,␣,✔,✔,✘
A0027,SP10PAA027,✘,␣,␣,✔,✔,✘
A0028,SP10PAA027,✘,␣,␣,✔,✔,✘
A0029,SP10PAA027,✘,␣,␣,✔,✔,✘
D0000,SP10PAA027,✔,␣,PSQ4ME3,✘,✔,✔
D0001,SP10PAA027,✘,␣,␣,✘,✘,✘
E0000,SP10PAA027,✘,1319042314,Z6AZNZ0,✘,✘,✔
