image,015,017,022,033,051,002,041,032,040,050,036,043,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
A0000,␣,6.299.000,3789480,␣,␣,흰색,✘,2,␣,35000,15.8,✘,✔,∅,␣,✘,✘,✘,✔,␣,100,✘,"22,676,400",✔,✘,12,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,스피드카중고차,1,✘,GV80,␣,␣,✔,✘,30.111.000,✘,␣,✘
A0001,␣,60.870.00,1738450,␣,␣,흰색,✘,2,␣,"35,000",10.1,✘,✘,∅,␣,✘,✘,✘,✔,␣,150,✘,21.913.200,✔,✔,24,␣,␣,✘,1.5만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,드림카매매센터,1,✘,G80,␣,␣,✔,✘,"56,691,000",✘,␣,✘
A0002,␣,5.224.000,1070800,␣,␣,유색,✘,2,␣,␣,18.3,✔,✘,∅,␣,✘,✘,✘,✔,␣,200,✘,18.806.400.,✘,✘,36,␣,␣,✘,3만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,행복드라이브중고차,1,✘,팰리세이드,␣,␣,✘,✔,"54,783,000",✘,␣,✔
A0003,␣,"5,179,000",717460,␣,␣,검정,✘,2,␣,␣,6.8,✘,✘,∅,␣,✘,✘,✘,✔,␣,100,✘,18.644.400,✔,✘,48,␣,␣,✘,1만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,알파카자동차,1,✘,G80,␣,␣,✘,✘,"47,016,000",✘,␣,✘
A0004,␣,4.936.000,577580,␣,␣,유색,✘,2,␣,␣,12.7,✔,✘,∅,␣,✘,✘,✘,✔,␣,150.,✘,17.769.600,✘,✘,60,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,썬샤인모터스,1,✘,GV70,␣,␣,✔,✘,"46,611.000",✔,␣,✘
A0005,␣,"4,867.000",6084400,␣,␣,흰색,✘,2,␣,␣,20.2,✘,✘,∅,␣,✔,✘,✘,✘,␣,200,✘,17.521.000,✔,✘,6,␣,␣,✘,1.5만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,골드카중고차,1,✘,G80,␣,␣,✘,✔,"44,424,000",✘,6,✘
A0006,␣,4.853.000,2733210,␣,␣,흰색,✘,2,␣,␣,8.6,✔,✔,∅,␣,✘,✘,✘,✔,␣,100,✘,"17,470,800",✘,✘,12,␣,␣,✘,3만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,파워카매매상사,1,✘,GV70,␣,␣,✘,✘,"43,803,000",✘,␣,✘
A0007,␣,"4,665,000",1385820,␣,␣,흰색,✘,2,␣,␣,14.4,✘,✔,∅,␣,✘,✘,✘,✔,␣,150,✘,"16,794,000",✔,✘,24,␣,␣,✘,1만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,베스트중고차,1,✘,G80,␣,␣,✔,✘,"43,677,000",✘,␣,✘
A0008,␣,"4,598,000",873010,␣,␣,검정,✘,2,␣,␣,9.8,✔,✘,∅,␣,✘,✘,✘,✔,␣,200,✘,"16,552,800",✘,✘,36,␣,␣,✘,2만,2,✘,␣,␣,␣,␣,1,␣,␣,✔,✘,␣,로얄자동차,1,✘,G80,␣,␣,✘,✔,"41,985,000",✘,␣,✔
A0009,␣,"4,580,000",696770,␣,␣,유색,✘,2,␣,␣,17.1,✘,✘,∅,␣,✘,✘,✘,✔,␣,100,✘,"16,488,000",✔,✘,48,␣,␣,✘,1.5만,2,✔,␣,␣,␣,␣,1,␣,␣,✔,✔,␣,스마트중고차,1,✘,스팅어,␣,␣,✘,✘,"41,382,000",✘,␣,✘
