image,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,090,097,062,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
A0000,✘,✘,✘,✘,✘,␣,✘,✔,"60,000",✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"50,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,3,✔,✘,✘,✘,✘,␣,␣,✘,"2,305,000",5,✘,✘,✘,1,✔,36,✘,✘,✘,✘,␣,✘,"410,000",✘,␣,"3,900,000","350,000",✘,✘,✘,✘,✘,✘,✘,␣,"46,100,000",✘,␣,✘,✘,✘
A0001,✘,✘,✘,✘,✘,␣,✔,✘,"75,000",✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,30000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,6,✔,✘,✘,✘,✘,␣,␣,✘,1432500,5,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,"495,000",✘,␣,1350000,"420,000",✘,✘,✘,✘,✘,✘,✘,␣,28650000,✘,␣,✘,✘,✘
A0002,✘,✘,✘,✘,✘,␣,✘,✔,"90,000",✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,70000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,9,✔,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,"600,000",✘,␣,6440000,"510,000",✘,✘,✘,✘,✘,✘,✘,␣,63560000,✘,␣,✘,✘,✘
A0003,✘,✘,✘,✘,✘,␣,✔,✘,110000,✘,∅,␣,✘,36,✘,✘,✘,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"40,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,12,✔,✘,✘,✘,✘,␣,␣,✘,1938000,5,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,710000,✘,␣,"1240,000",600000,✘,✘,✘,✘,✘,✘,✘,␣,38760000,✘,␣,✘,✘,✘
A0004,✘,✘,✘,✘,✘,␣,✘,✔,130000,✘,∅,␣,✘,48,✘,✘,✔,␣,✘,␣,48,✘,␣,✘,␣,✘,✘,"60,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,2829000,5,✘,✘,✘,1,✘,48,✘,✘,✘,✘,␣,✘,880000,✘,␣,3420000,750000,✘,✘,✘,✘,✘,✘,✘,␣,56580000,✘,␣,✘,✘,✘
A0005,✘,✘,✘,✘,✘,␣,✔,✘,"55,000",✘,∅,␣,✘,36,✘,✘,✔,␣,✘,␣,36,✘,␣,✘,␣,✘,✘,"20,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,36,✘,✘,✘,✘,␣,✘,895000,✘,␣,"1,780,000","840,000",✘,✘,✘,✘,✘,✘,✘,␣,"18,220,000",✘,␣,✘,✘,✘
A0006,✘,✘,✘,✘,✘,␣,✘,✔,"80,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"80,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"1,010,000",✘,␣,"5,040,000","930,000",✘,✘,✘,✘,✘,✘,✘,␣,"74,960,000",✘,␣,✘,✘,✘
A0007,✘,✘,✘,✘,✘,␣,✔,✘,"105,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,50000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,60,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1125000,✘,␣,1200000,1020000,✘,✘,✘,✘,✘,✘,✘,␣,48800000,✘,␣,✘,✘,✘
A0008,✘,✘,✘,✘,✘,␣,✘,✔,"120,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,90000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1230000,✘,␣,9000000,1110000,✘,✘,✘,✘,✘,✘,✘,␣,81000000,✘,␣,✘,✘,✘
A0009,✘,✘,✘,✘,✘,␣,✔,✘,"140,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,10000000,✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,1340000,✘,␣,370000,1200000,✘,✘,✘,✘,✘,✘,✘,␣,9630000,✘,␣,✘,✘,✘
A0010,✘,✘,✘,✘,✘,␣,✘,✔,"50,000",✘,∅,␣,✘,60,✘,✘,✔,␣,✘,␣,60,✘,␣,✘,␣,✘,✘,"45,000,000",✘,␣,✘,✘,✘,␣,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✘,␣,✘,✘,␣,1,✘,✘,✘,✘,␣,✘,✘,␣,✘,✘,✘,✘,✘,␣,␣,✘,␣,␣,✘,✘,✘,1,✘,60,✘,✘,✘,✘,␣,✘,"370,000",✘,␣,"3,105,000","320,000",✘,✘,✘,✘,✘,✘,✘,␣,"41,895,000",✘,␣,✘,✘,✘
