image,015,017,022,033,051,002,041,032,040,050,036,043,019,008,052,016,013,026,027,006,023,038,039,018,042,009,021,024,045,044,037,035,049,034,053,054,030,020,029,028,046,011,005,000,003,007,001,025,031,047,048,004,012,014,010
C0000,"37,180,000","6,160,000","5,160,000","7,630,000",␣,GV80 Q5,✔,51.3,␣,␣,␣,✘,␣,✘,∅,"41,860,000",✔,✔,✘,✘,24,␣,✔,4870000,✔,✔,17,28,"5,290,000",✘,␣,␣,✔,␣,9248709265,L20L4FG,11.2,10,"4,990,000",99.7,✔,✘,␣,누룽지.,14,✔,이쿼녹스 RAV4,␣,"59,430,000",✘,✘,␣,✔,19,✘
C0001,"99,240,000",␣,"8,850,000",4180000,␣,␣,✘,␣,99120000,␣,가법에,✘,␣,✘,∅,"83,780,000",✘,✘,✔,✔,35,광물의,✘,"53,380,000",✘,✘,31,2,"75,360,000",✔,␣,␣,✔,"2,430,000",9349629128,LHVTG0O,70.9,6,"78,790,000",85.8,✔,✘,␣,의약품.,17,✘,␣,"64,530,000","18,690,000",✘,✘,"49,720,000",✘,29,✔
C0002,␣,"48,510,000","3,610,000","56,630,000",큰,도요타 타이칸,✘,␣,␣,␣,일을 행하는,✘,62.0,✘,∅,6820000,✔,✘,✘,✔,␣,여자와,✘,␣,✘,✘,6,15,7760000,✘,모두,␣,✘,␣,9591194864,LPX922T,␣,8,"7,920,000",33.2,✘,✘,"작가로, 시집에",␣,␣,✔,␣,␣,␣,✘,✔,3510000,✘,␣,✘
C0003,"42,480,000",␣,␣,␣,십상팔구이다. 늦게,트랙스 CR-V,✘,␣,36960000,␣,␣,✘,59.5,✔,∅,"7,660,000",✘,✔,✔,✘,22,␣,✘,␣,✘,✔,15,␣,6490000,✔,␣,␣,✘,"72,380,000",9721540837,LPUA0C0,78.2,36,␣,38.1,✔,✘,소설을 연애,떡쑥의,1,✔,트랙스 벤츠,␣,"81,330,000",✘,✘,␣,✘,16,✔
C0004,"11,250,000","84,160,000",97390000,␣,거두다. 성금을,Q8 아이오닉5,✘,2.0,"72,630,000",␣,␣,✔,1.4,✘,∅,9260000,✘,✘,✘,✘,18,␣,✔,␣,✘,✔,7,7,␣,✔,␣,␣,✘,15330000,9108957133,LXQ9AMF,␣,32,"6,420,000",40.4,✘,✘,␣,␣,4,✘,프리우스 GV90,"5,890,000","41,550,000",✔,✘,"9,310,000",✘,21,✘
C0005,␣,␣,"27,160,000","19,740,000",네가,␣,✘,␣,"5,810,000",␣,␣,✘,␣,✘,∅,"8,670,000",✘,✘,✔,✘,3,␣,✘,␣,✘,✘,33,29,␣,✘,␣,␣,✘,"8,810,000",1959742328,LEGXASO,39.2,8,␣,␣,✔,✔,그 자리에서,넣고,9,✔,␣,␣,"41,730,000",✘,✔,"8,810,000",✔,4,✘
C0006,"54,980,000","2,180,000","3,570,000",␣,␣,␣,✘,50.7,"5,110,000",혼례,내려오는,✘,␣,✘,∅,␣,✘,✘,✔,✘,33,␣,✔,"3,710,000",✘,✘,33,␣,"8,190,000",✔,␣,접의,✔,␣,1654453529,LBZNQH2,77.5,11,"18,180,000",␣,✔,✔,␣,물체가,5,✔,A6 파일럿,␣,"77,380,000",✘,✘,"25,240,000",✘,␣,✔
C0007,␣,49390000,␣,"7,640,000",위한,싼타페 GV60,✘,3.0,␣,␣,␣,✔,␣,✘,∅,"5,810,000",✘,✘,✔,✘,15,␣,✘,"68,220,000",✔,✘,22,30,5720000,✘,␣,␣,✘,␣,9906667757,LJUGXVF,37.5,␣,"93,830,000",␣,✘,✔,칸 너비의,␣,10,✘,i4 GV70,␣,"43,530,000",✘,✘,␣,✘,16,✘
C0008,␣,"37,160,000","9,760,000",␣,8~9월에,싼타페 말리부,✘,␣,"9,240,000",않음.,이르는,✘,65.0,✘,∅,"8,920,000",✘,✔,✘,✘,␣,움직일,✘,"28,670,000",✔,✔,23,20,"8,260,000",✘,충청도 명일,개미가,✘,"32,830,000",9181499039,LELA06P,␣,12,"48,690,000",77.9,✘,✘,␣,조작이,10,✘,␣,"17,150,000","4,260,000",✔,✘,"78,180,000",✘,20,✔
C0009,78340000,"9,260,000",␣,"6,330,000",␣,랜드크루저 i4,✘,98.5,␣,␣,␣,✘,91.3,✘,∅,"13,290,000",✘,✘,✘,✘,16,␣,✘,␣,✔,✔,22,3,"12,640,000",✘,␣,␣,✔,"84,150,000",1046022570,L0KKX84,␣,12,"34,540,000",48.8,✘,✔,␣,␣,␣,✘,쌍용 도요타,"99,150,000","7,520,000",✘,✘,"8,260,000",✘,␣,✘
