image,015,017,022,088,082,002,041,040,050,019,008,052,026,006,042,100,009,024,045,102,058,101,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,061,065,051,033,090,062,032,085,056,091,074,043,059,067,016,079,013,055,023,039,018,021,093,044,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,027,078
C0000,✔,✘,"75,840,000",✘,✔,13두 3225,✔,✘,✘,6,✘,✘,떨고,✘,✘,✘,✘,✘,✔,␣,✘,␣,✘,✘,✔,2212만원,"91,190,000",✔,✔,✔,✘,✘,✘,✘,얻기,✘,"광흥창, 병조의",✔,✘,✘,16,✘,✘,✔,✘,창건,✔,✘,✘,✘,✘,✘,✔,✘,2062만원,✘,✘,✔,46세,✘,✔,✘,✘,␣,✔,✘,"56,740,000",1169827652,✘,␣,✔,✘,✘,✘,✔,✘,✔,3,✔,✘,✔,✘,∅,IHIWQQY,␣,␣,✘,✘,✔,14,5,5,✘,✘
C0001,✔,✘,"36,380,000",✔,✔,63노 1404,✘,✔,✔,8,✘,✘,␣,✔,✘,✘,✘,✔,✘,␣,✘,␣,✘,✘,✔,3931만원,␣,✔,✘,✘,✘,✔,✘,✘,␣,✔,특유의 아름다움.,✘,✘,✘,␣,✔,✘,✘,✘,따위가,✔,✘,✔,✘,✔,✘,✘,✘,1789만원,✘,✘,✘,␣,✘,✘,✘,✔,"88,380,000",✘,✘,"8,190,000",1390752141,✘,2,✘,✔,✘,✘,✘,✘,✘,8,✘,✘,✔,✔,∅,I10R75K,"2,450,000",GV60 SM3,✘,✔,✘,36,1,3,✘,✘
C0002,✘,✘,"4,770,000",✘,✘,48서 2151,✘,✘,✔,6,✘,✘,물건이,✔,✘,✘,✘,✘,✘,␣,✘,␣,✘,✔,✘,3577만원,"34,830,000",✘,✘,✘,✔,✔,✘,✘,갑옷을,✔,␣,✘,✘,✔,4,✔,✘,✘,✔,지위에,✘,✔,✘,✘,✔,✘,✘,✘,2594만원,✔,✔,✘,␣,✘,✘,✘,✔,␣,✘,✘,"56,630,000",9968424959,✔,7,✘,✘,✘,✘,✔,✘,✘,5,✘,✔,✘,✔,∅,IV1TXX8,␣,␣,✘,✘,✘,36,7,8,✘,✘
C0003,✘,✘,␣,✘,✘,␣,✘,✘,✔,4,✘,✔,␣,✘,✘,✘,✘,✘,✘,␣,✔,␣,✘,✘,✘,2786만원,␣,✘,✔,✘,✔,✘,✘,✘,촬영한,✔,소리를,✔,✘,✔,8,✘,✘,✔,✘,신라,✘,✘,✘,✔,✘,✔,✘,✔,2595만원,✔,✘,✔,40세,✘,✘,✘,✘,␣,✔,✘,8630000,9001303801,✔,15,✔,✔,✘,✘,✘,✘,✘,4,✘,✘,✘,✘,∅,IIYAA71,63610000,파일럿 트래버스,✘,✘,✔,34,8,8,✘,✘
C0004,✘,✔,"98,950,000",✔,✘,879우 0713,✘,✘,✘,1,✔,✔,준다.,✘,✘,✘,✘,✘,✘,␣,✘,␣,✘,✘,✘,␣,␣,✘,✔,✔,✘,✔,✘,✘,즐기다02,✘,␣,✘,✔,✔,3,✔,✘,✘,✔,영업을,✔,✔,✘,✘,✘,✘,✘,✔,␣,✘,✘,✘,76세,✘,✔,✘,✘,␣,✔,✘,"84,130,000",9969251914,✘,␣,✘,✘,✔,✔,✘,✔,✘,8,✘,✘,✔,✘,∅,IH7HM6F,4210000,␣,✔,✘,✘,18,␣,␣,✘,✘
C0005,✘,✘,␣,✘,✘,899구 6883,✘,✘,✔,5,✘,✘,␣,✔,✘,✘,✔,✘,✔,␣,✘,␣,✘,✔,✘,␣,"75,830,000",✘,✘,✘,✘,✘,✘,✔,아인슈타인,✘,갇히게,✘,✘,✘,17,✘,✘,✔,✔,기간이,✘,✔,✘,✔,✘,✘,✘,✘,3364만원,✔,✔,✘,␣,✘,✘,✔,✘,␣,✔,✔,"5,720,000",9501705766,✘,␣,✘,✘,✘,✘,✔,✔,✔,␣,✘,✘,✘,✘,∅,I7MVC7L,"3,980,000",임팔라 캠리,✘,✔,✘,␣,4,19,✘,✘
C0006,✘,✘,␣,✔,✘,77고 2468,✘,✘,✘,3,✘,✔,널리,✔,✘,✘,✔,✔,✘,␣,✔,␣,✘,✔,✘,3220만원,␣,✔,✘,✘,✔,✘,✘,✘,줄어든다는,✘,아르에이치,✔,✔,✘,30,✘,✘,✔,✘,지방에,✘,✘,✔,✘,✘,✔,✔,✘,␣,✘,✔,✘,␣,✘,✘,✘,✔,53710000,✘,✘,"3,590,000",9075828383,✘,11,✘,✔,✘,✘,✘,✘,✘,␣,✔,✘,✔,✔,∅,IQ6947W,"9,810,000",i30 하이랜더,✘,✘,✘,␣,7,15,✘,✘
C0007,✘,✘,␣,✔,✔,82누 4087,✘,✘,✘,3,✘,✔,"황달,",✔,✘,✘,✘,✘,✘,␣,✘,␣,✘,✘,✘,2433만원,6520000,✘,✘,✘,✘,✔,✘,✘,작용,✔,여성들이 선호하는,✔,✔,✔,19,✔,✘,✔,✘,두,✘,✘,✘,✔,✔,✔,✘,✘,␣,✔,✘,✔,␣,✘,✔,✔,✔,"89,360,000",✘,✘,"57,220,000",1117055556,✔,22,✔,✘,✘,✘,✘,✔,✘,7,✘,✘,✘,✘,∅,IWC9QT8,␣,3 시리즈 티볼리,✘,✘,✔,12,4,5,✘,✔
C0008,✘,✔,"7,310,000",✘,✘,71조 3546,✘,✘,✘,␣,✔,✘,때,✘,✘,✘,✔,✘,✘,␣,✘,␣,✔,✘,✔,␣,␣,✘,✘,✘,✔,✘,✘,✔,하다,✘,근무를 맡은,✘,✔,✔,␣,✔,✘,✘,✘,화산암체가,✔,✔,✔,✘,✘,✔,✔,✔,3149만원,✘,✘,✘,52세,✔,✘,✘,✘,2430000,✘,✘,␣,1698067241,✘,33,✘,✘,✘,✘,✔,✘,✘,␣,✘,✘,✘,✘,∅,IV00MUB,"3,420,000",XM3 아이오닉5,✘,✔,✘,␣,␣,5,✘,✘
C0009,✘,✘,␣,✘,✘,␣,✔,✘,✔,9,✘,✘,␣,✘,✘,✘,✘,✔,✔,␣,✘,␣,✘,✘,✘,4027만원,␣,✔,✘,✔,✘,✘,✘,✘,1년,✘,비단. 달이나,✘,✘,✘,21,✘,✘,✘,✔,보태거나,✘,✘,✘,✘,✔,✔,✘,✘,1592만원,✘,✘,✘,75세,✘,✘,✘,✘,97190000,✘,✘,"29,530,000",9225010940,✘,␣,✘,✘,✘,✘,✘,✘,✘,␣,✘,✔,✘,✘,∅,I5MPCDF,"73,270,000",911 무쏘,✘,✔,✔,␣,␣,␣,✘,✘
