image,065,067,020,064,070,069,046,049,066,023,063,021,045,019,044,068,022,047,062,048,018
A0000,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0001,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0002,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0003,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0004,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0005,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0006,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0007,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0008,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0009,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0010,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0011,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0012,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0013,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0014,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0015,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0016,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0017,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0018,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0019,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0020,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0021,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0022,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0023,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0024,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0025,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0026,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0027,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0028,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
A0029,✘,✘,✘,✘,␣,␣,✘,✘,✘,✘,✔,✘,✔,✔,✘,SP00NAB021,✘,✘,✘,✘,✘
