image,065,066,063,018,062,045,064,044,019
A0000,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0001,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0002,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0003,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0004,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0005,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0006,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0007,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0008,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0009,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0010,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0011,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0012,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0013,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0014,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0015,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0016,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0017,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0018,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0019,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0020,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0021,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0022,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0023,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0024,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0025,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0026,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0027,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0028,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
A0029,␣,␣,✔,✘,✘,✔,SP00AAA026,✘,✔
D0000,1460778937,P31SG4G,✘,✘,✘,✔,SP00AAA026,✘,✔
D0001,9961826920,PR141XO,✘,✘,✘,✘,SP00AAA026,✘,✔
E0000,␣,ZCZ9DK6,✘,✘,✘,✘,SP00AAA026,✘,✘
