image,015,017,022,088,082,002,041,040,050,096,098,019,008,052,026,006,042,100,009,024,045,058,083,076,049,081,020,029,064,028,068,011,072,077,003,007,001,025,047,063,014,010,060,087,089,095,061,065,099,051,090,097,062,085,056,091,074,036,043,059,067,016,079,013,055,023,038,039,018,021,093,044,037,035,057,080,069,084,071,034,053,070,054,030,046,086,092,094,005,000,075,066,048,031,073,004,012,027,078
C0000,✘,✔,✘,✘,✘,"땔감,",✔,✘,"1,110,000",✘,∅,얇게,✘,27,✔,✘,✔,UXRKY71,✘,끝을,␣,✔,3933만원,✘,␣,✘,✘,"2,320,000",✘,"8,380,000",✘,✘,✘,공기를 분류에,✘,✔,✘,✘,21,교리,✘,✔,✘,✘,✘,␣,✔,✔,1311178565,␣,✘,✔,✘,✘,31610000,✔,✔,␣,✘,✘,✔,✘,✔,것이 자꾸,17,✔,"62,490,000",␣,✘,✘,✔,24,✔,30,✔,✘,✔,✔,66세,✘,"6,670,000",✘,␣,"68,680,000","35,130,000",✘,✘,✘,✔,✘,✘,✘,␣,␣,✔,64,✔,✘,✘
C0001,✘,✘,✔,✔,✘,자를,✔,✘,5860000,✘,∅,엮은,✘,10,✘,✘,✘,U029WCP,✘,안고,␣,✘,4288만원,✘,"8,260,000",✘,✔,"7,610,000",✔,␣,✔,✘,✘,␣,✘,✔,✔,✘,9,무명을,✘,✔,✘,✘,✘,석방되어 나온,✘,✘,9847841661,16,✘,✔,✔,✔,64240000,✘,✘,␣,✘,✔,✔,✘,✔,␣,␣,✘,␣,␣,✘,✘,✘,13,✘,11,✘,✘,✘,✘,65세,✘,27190000,✔,␣,"64,720,000",␣,✘,✔,✔,✘,✘,✔,✘,␣,"57,270,000",✘,27,✘,✔,✔
C0002,✘,✘,✘,✘,✘,␣,✔,✔,"74,490,000",✔,∅,사람.,✔,␣,✘,✘,✘,U6Z1F8O,✘,굴하지,14,✘,1372만원,✔,"32,380,000",✘,✔,␣,✘,␣,✘,✘,✘,꾸짖다.,✘,✘,✘,✔,32,호.,✔,✘,✘,✔,✘,물을 긷는,✔,✘,1540785100,30,✘,✘,✘,✔,"2,310,000",✘,✔,␣,✔,✘,✔,✘,✘,문서나,17,✘,"77,490,000",23.0,✘,✔,✘,23,✘,␣,✘,✘,✔,✔,␣,✔,"59,740,000",✘,␣,"12,720,000","27,190,000",✔,✘,✘,✘,✘,✘,✔,␣,6890000,✔,␣,✔,✘,✘
C0003,✘,✘,✔,✘,✔,␣,✘,✘,"7,580,000",✘,∅,작약의,✘,␣,✘,✘,✘,UVJ9DTT,✔,일인칭,␣,✘,4868만원,✘,"5,380,000",✘,✘,␣,✔,41590000,✘,✘,✔,된다는 말.,✘,✘,✘,✘,16,손자.,✘,✔,✔,✘,✘,딴꾼.,✔,✘,9898151216,1,✘,✔,✔,✘,68920000,✔,✘,␣,✘,✘,✘,✘,✔,␣,␣,✘,"8,930,000",65.6,✘,✔,✔,10,✘,9,✘,✘,✘,✘,28세,✘,25850000,✘,10,"7,530,000",␣,✘,✔,✘,✔,✔,✘,✘,18,"8,110,000",✘,59,✘,✘,✘
C0004,✘,✘,✘,✔,✔,숙시닐콜린,✘,✘,␣,✘,∅,하다 작납하여,✘,␣,✘,✘,✘,UKUBIOM,✘,지도계몽하기,␣,✘,3700만원,✔,␣,✘,✘,␣,✘,"57,850,000",✔,✔,✔,␣,✔,✔,✘,✘,8,따위에,✔,✔,✘,✘,✘,␣,✘,✘,9293365795,21,✘,✘,✘,✘,"71,330,000",✔,✘,15,✘,✘,✘,✘,✔,␣,24,✘,"6,170,000",␣,✘,✘,✔,34,✘,26,✘,✘,✘,✘,␣,✘,1380000,✘,␣,"2,860,000",␣,✘,✘,✘,✘,✘,✘,✘,␣,␣,✔,␣,✘,✘,✔
C0005,✔,✘,✔,✘,✘,␣,✘,✘,␣,✘,∅,영초를,✘,12,✔,✘,✘,UP4UKQM,✘,탁지하여,␣,✔,␣,✘,"5,750,000",✘,✘,␣,✔,␣,✘,✔,✘,과즙. 우라늄,✔,✘,✔,✘,2,어근.,✔,✘,✔,✘,✔,그물의 아랫부분이,✘,✘,9778667561,25,✘,✔,✘,✔,"5,550,000",✘,✘,␣,✘,✘,✔,✘,✘,생기는 파도.,␣,✘,␣,57.9,✔,✔,✘,13,✔,16,✔,✘,✘,✘,43세,✘,"1,660,000",✘,18,"55,220,000",32480000,✘,✘,✔,✘,✘,✔,✘,6,"16,570,000",✘,␣,✘,✘,✘
C0006,✘,✔,✔,✘,✘,미학을,✘,✘,25860000,✔,∅,연성과,✘,12,✘,✔,✔,UKRTOEK,✘,대상이,31,✔,4537만원,✘,14280000,✔,✘,"57,620,000",✘,"2,670,000",✘,✘,✔,␣,✘,✘,✘,✔,7,것.,✘,✘,✘,✔,✘,무식을,✔,✘,9782212237,␣,✘,✘,✘,✔,"69,440,000",✘,✔,4,✘,✘,✔,✔,✘,타고,␣,✔,"7,130,000",␣,✘,✘,✘,␣,✘,␣,✘,✘,✘,✔,28세,✘,␣,✘,22,"5,680,000",␣,✘,✘,✔,✔,✘,✔,✘,30,79140000,✘,␣,✔,✘,✘
C0007,✘,✘,✔,✔,✘,␣,✘,✘,"9,680,000",✘,∅,하늘이,✘,33,✘,✘,✘,U2BVM6Q,✘,␣,3,✘,4056만원,✘,"88,180,000",✘,✔,"63,530,000",✘,␣,✘,✔,✘,␣,✔,✘,✔,✘,21,넘기다.,✘,✘,✘,✔,✘,조상.,✔,✔,9261286592,18,✘,✘,✘,✔,␣,✔,✘,24,✘,✘,✘,✘,✘,␣,33,✘,"81,310,000",75.9,✘,✘,✘,17,✔,15,✔,✔,✘,✔,21세,✔,␣,✔,␣,"1,210,000","55,910,000",✘,✘,✔,✘,✘,✘,✘,29,␣,✔,29,✘,✔,✘
C0008,✔,✘,✘,✘,✘,국영사업,✔,✘,"92,490,000",✔,∅,␣,✔,12,✘,✔,✘,UM0BBDY,✘,렌즈와,␣,✔,1645만원,✘,5650000,✘,✘,␣,✘,"9,790,000",✘,✘,✘,␣,✘,✘,✘,✔,19,꽉,✘,✔,✔,✘,✔,일. 설법할,✔,✘,9266649210,27,✔,✘,✘,✘,␣,✘,✘,␣,✘,✔,✘,✘,✘,색깔과 상태를,14,✘,␣,93.6,✔,✔,✔,30,✘,28,✘,✘,✘,✘,72세,✘,"86,920,000",✔,11,␣,3260000,✔,✘,✘,✔,✘,✘,✘,18,␣,✘,67,✘,✘,✘
C0009,✔,✘,✘,✘,✘,스무,✘,✔,"48,730,000",✔,∅,␣,✘,34,✘,✘,✘,UTZ0UQB,✔,445378,8,✘,1626만원,✔,74950000,✘,✔,␣,✔,"9,770,000",✘,✔,✔,관청에 바치는,✘,✘,✔,✘,21,문신(173,✔,✔,✔,✘,✔,가지 안티모니,✘,✔,1109408625,10,✔,✘,✔,✘,"9,440,000",✔,✘,␣,✘,✘,✘,✘,✘,430585요사이의,9,✔,"9,320,000",␣,✔,✘,✘,␣,✔,34,✘,✘,✘,✘,34세,✘,␣,✘,2,"22,290,000",␣,✘,✘,✔,✘,✘,✘,✘,6,"28,370,000",✔,38,✘,✘,✘
C0010,✔,✘,✘,✘,✘,기록까지,✔,✔,12710000,✔,∅,이르는,✘,8,✘,✘,✘,UHZHZSX,✘,결합을,␣,✘,␣,✘,"68,680,000",✘,✘,␣,✘,"23,220,000",✔,✔,✘,이질의 치료에,✘,✘,✘,✘,32,␣,✘,✘,✘,✘,✔,␣,✘,✘,1391922995,7,✔,✔,✘,✘,␣,✔,✘,␣,✘,✘,✘,✘,✔,␣,␣,✘,␣,69.6,✔,✘,✔,␣,✔,18,✔,✘,✘,✘,62세,✘,"24,320,000",✘,35,␣,"46,930,000",✔,✘,✘,✔,✘,✔,✘,33,"36,240,000",✔,64,✔,✘,✘
