image,000,001,002,003,004,005,006,007,008,009,010,011,012,013,014,015,016,017,018,019,020,021,022,023,024,025,026,027,028,029,032,033,034,035,036,042,043,044,045,046,047,048,049,050,051,052,053,054,055,056,057,058,059,060,061,062,063,064,065,066,067,068,069,070,071,072,073,074,075,076,077,078,079,080,081,082,083,084,085,086,087,088,089,090,091,092,093,094,095,096,097,099,100
G0000,,,,,19,,✔,,,✔,✔,,,주지는 군장의,,,,,,,✔,,,,"78,530,000",✔,✔,,"98,480,000","56,720,000",,"8,630,000",,,24,,,4,,"36,740,000",27,3,25980000,"73,590,000",16,25,"4,740,000",23,,,,✔,,✔,✔,,,,✔,,,,,,,,,,✔,,1026천만원,,,,✔,✔,8936만원,,,,,,✔,,✔,,,,19세기,,,9621767649,T6LGNAE
G0001,,,코타티 해방촌,,,,✔,,,✔,,✔,,되었다가 뒤에,,,✔,,,,,,,✔,"6,740,000",✔,,✔,"8,640,000","55,790,000",허가되는,3950000,✔,,24,✔,✔,,3,"23,920,000",26,10,"43,380,000","63,920,000",35,15,"68,520,000",26,,,,✔,,,✔,✔,SK임업,,,,,,✔,,24세,✔,,✔,,,1853천만원,,,,,,8273만원,✔,✔,,,,,,,✔,✔,,,,✔,,T9PO0XJ
G0002,✔,,,✔,28,✔,,,✔,✔,,,,,✔,,,,,헐거나,,,✔,,"8,190,000",✔,✔,,"2,480,000","92,920,000",어려울,"2,380,000",✔,22,21,,,2,28,,20,18,"86,490,000",52330000,25,34,"43,890,000",19,,"76,870,000",,,,,,,능동미나리,,✔,,,✔,,✔,77세,,,,✔,✔,8763천만원,,,,,✔,,,,,,,,,,,✔,✔,언어의,,,9557702519,TVO7MFL
G0003,,,월하보이,,19,✔,,✔,✔,,,,✔,나라.,✔,✔,,,,없이,,✔,,,"76,730,000",,✔,,"65,580,000","5,130,000",,"2,430,000",,,30,,,,16,,,,"61,790,000","68,270,000",28,,22460000,17,17,"37,770,000",,,✔,,✔,✔,에어리퀴드코리아,,,,,,,,33세,✔,,,,,,✔,,,,,9936만원,✔,,,✔,,,✔,,,,,,,,9138342994,TEHDJMK
G0004,✔,,한국화장품 제약사업부,✔,78,,,,,,✔,✔,✔,부드러운,,✔,✔,,,일.,✔,,✔,,"91,680,000",✔,,,"1,190,000","73,720,000",어근.,53120000,,15,4,,✔,7,9,8690000,31,31,"8,370,000",85480000,26,7,,2,,"2,580,000",,,✔,,,✔,,✔,,,,,,,31세,,,,✔,,1751천만원,,,,,,,✔,,,✔,,,✔,,,✔,,대체로 칭찬,,✔,1447222852,
G0005,,,,,74,,,,,,✔,,,것은 그저,,✔,,,,조직한,,,✔,,6680000,,✔,✔,"71,520,000","3,430,000",해변이나,,✔,8,,✔,,2,28,"53,980,000",18,,,"12,520,000",23,,,,34,,,,,,,,교육부,✔,✔,,,,,,28세,,,,,,8527천만원,,,✔,,,,,,,✔,,✔,,,✔,,,침범할 수,,,,
G0006,,,알바이신,,59,,,,,,,✔,,조사하고 죄인을,,,,,,교림,,,,,"6,810,000",,,,,"11,730,000",,,,8,,,✔,13,11,"43,460,000",1,5,"72,620,000",73540000,13,8,"3,270,000",26,9,"23,450,000",,✔,,,,,,✔,,,,,✔,,32세,,✔,✔,✔,✔,5330천만원,,,,,,,,,✔,,✔,,✔,,,✔,,가며 하는,✔,✔,,T5IH9K9
G0007,✔,,[백년가게] 베이크하우스,,25,,✔,,,,,,,천 냥,,,,,✔,위하여,,,,,,,✔,,38650000,"82,110,000",다섯쯤,"4,610,000",,28,17,,,,24,"2,480,000",,16,,2410000,5,,"65,820,000",23,20,51350000,,,,✔,,,스펙트럼라이프,,,,,,,,23세,,,,,✔,,,,,,,6289만원,✔,,,,,✔,,,,✔,,,,,1358366883,
G0008,,,대한제강,✔,,,,,,,✔,,✔,,,,,,✔,뺨접기,✔,✔,,,9620000,,✔,✔,"99,910,000","99,560,000",통치자로,"28,350,000",,10,26,,,8,,,,,,,5,20,"47,630,000",,,,,,,✔,✔,,고려아연,,,✔,,✔,,,19세,✔,,,,,9029천만원,,✔,,,,,,,,,✔,,,,,,✔,밑바닥 도료로,✔,,,T9PWS18
G0009,,,에스제이비보이즈,,45,,,,,,,,,단위.,✔,,,✔,,아니함.,,✔,✔,,"5,830,000",,,,,,일이나,"9,390,000",✔,31,,,,30,11,,19,,"56,360,000","12,120,000",17,28,"2,940,000",,4,"6,420,000",,✔,,✔,,,,✔,,,,,,,25세,,,✔,✔,,,,✔,,✔,,9751만원,,✔,✔,,,,✔,✔,,,,,,,,
